"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","849","Удаление карточки API","Автоматизация тестирования.01. Архитектура фреймворка.test","Fri Nov 29 22:36:37 MSK 2024","passed","Fri Nov 29 22:36:37 MSK 2024","","test_ui","",""
"","1509","Удаление доски API","Автоматизация тестирования.01. Архитектура фреймворка.test","Fri Nov 29 22:36:37 MSK 2024","passed","Fri Nov 29 22:36:39 MSK 2024","","test_ui","",""
"","2159","Удаление карточки UI","Автоматизация тестирования.01. Архитектура фреймворка.test","Fri Nov 29 22:36:12 MSK 2024","passed","Fri Nov 29 22:36:14 MSK 2024","","test_api","",""
"","645","Перемещение карточки в другой список API","Автоматизация тестирования.01. Архитектура фреймворка.test","Fri Nov 29 22:36:36 MSK 2024","passed","Fri Nov 29 22:36:37 MSK 2024","","test_ui","",""
"","5359","Редактирование карточки API","Автоматизация тестирования.01. Архитектура фреймворка.test","Fri Nov 29 22:36:31 MSK 2024","passed","Fri Nov 29 22:36:36 MSK 2024","","test_ui","",""
"","1778","Добавление карточки UI","Автоматизация тестирования.01. Архитектура фреймворка.test","Fri Nov 29 22:36:05 MSK 2024","passed","Fri Nov 29 22:36:07 MSK 2024","","test_api","",""
"","2730","Drag'n'Drop карточки в другой список UI","Автоматизация тестирования.01. Архитектура фреймворка.test","Fri Nov 29 22:36:09 MSK 2024","passed","Fri Nov 29 22:36:12 MSK 2024","","test_api","",""
"","14089","Добавление доски API","Автоматизация тестирования.01. Архитектура фреймворка.test","Fri Nov 29 22:36:16 MSK 2024","passed","Fri Nov 29 22:36:30 MSK 2024","","test_ui","",""
"","2438","Удаление доски UI","Автоматизация тестирования.01. Архитектура фреймворка.test","Fri Nov 29 22:36:14 MSK 2024","passed","Fri Nov 29 22:36:16 MSK 2024","","test_api","",""
"","193","Добавление карточки API","Автоматизация тестирования.01. Архитектура фреймворка.test","Fri Nov 29 22:36:30 MSK 2024","passed","Fri Nov 29 22:36:31 MSK 2024","","test_ui","",""
"","1886","Редактирование карточки UI","Автоматизация тестирования.01. Архитектура фреймворка.test","Fri Nov 29 22:36:07 MSK 2024","passed","Fri Nov 29 22:36:09 MSK 2024","","test_api","",""
"","1218","Добавление доски UI","Автоматизация тестирования.01. Архитектура фреймворка.test","Fri Nov 29 22:36:04 MSK 2024","passed","Fri Nov 29 22:36:05 MSK 2024","","test_api","",""
